student_id,question_id,question_text,reference_answer,student_answer,section,topic,is_correct
STUDENT_115,sectionA_yearOfStudy,1. Current year of study,,Postgraduate,Section A,,
STUDENT_115,sectionA_gender,2. Gender,,Male,Section A,,
STUDENT_115,sectionA_studentStatus,3. Current status,,Working student,Section A,,
STUDENT_115,sectionA_selfLearningScale,4. Self-learning ability (1-5),,4,Section A,,
STUDENT_115,sectionA_topicFirst,5. First topic selected for assessment,,fuzzy_logic,Section A,,
STUDENT_115,sectionA_topicSecond,6. Second topic selected for assessment,,deep_neural_networks,Section A,,
STUDENT_115,sectionA_studiedTopic1,7. Studied Topic 1 before?,,University course,Section A,,
STUDENT_115,sectionA_studiedTopic2,8. Studied Topic 2 before?,,University course,Section A,,
STUDENT_115,sectionA_familiarityTopic1Scale,9. Familiarity with Topic 1 (1-5),,3,Section A,,
STUDENT_115,sectionA_familiarityTopic2Scale,10. Familiarity with Topic 2 (1-5),,3,Section A,,
STUDENT_115,sectionA_usedGenAi,11. Used GenAI tools for learning?,,Yes,Section A,,
STUDENT_115,sectionA_aiLearningFrequency,12. Frequency of using AI for learning,,Daily,Section A,,
STUDENT_115,sectionA_aiToolPrimary,13. AI tool used most,,Gemini,Section A,,
STUDENT_115,sectionA_aiStudyPurpose,14. Primary purpose of using AI,,Solving hard problem,Section A,,
STUDENT_115,sectionA_attendedAiTraining,15. Attended AI course or workshop?,,No,Section A,,
STUDENT_115,sectionB_fuzzy_logic_q1,"What is the term for a mathematical function used in Fuzzy Logic to define the degree of truth of a statement, mapping input values to the interval [0, 1]?",C. Membership Function,C. Membership Function,Section B,Fuzzy Logic,correct
STUDENT_115,sectionB_fuzzy_logic_q2,The Mamdani-type Fuzzy Inference System typically uses which operator for the implication step?,A. Min (or product),A. Min (or product),Section B,Fuzzy Logic,correct
STUDENT_115,sectionB_fuzzy_logic_q3,Why is the Center of Gravity (Centroid) method generally considered the most robust defuzzification technique?,B. It considers the entire shape and area of the aggregated fuzzy output set,B. It considers the entire shape and area of the aggregated fuzzy output set,Section B,Fuzzy Logic,correct
